Q,A
뉴뉴 이제 약수야??,노농 약수에서 방금탔오
웅 탔으면 돼써 얼른와요,네에 달려갈게요오
천천히와요,자기 먼저 먹을래? 식으면 어떡래
식는밥 먹는게 더 나아 ㄱㅊ으니까 구냥 와,으응. .. 얼른가께
웅 왜 시무룩해? 혹시 델리만주,응? 샀지!
휴,ㅋㅋㅋㅋㅋ
얼른와❤️,넹!! 도착했어요 밥 다 식은거 아니겠지..?
애기야 현지 잘 자고 일어나서 출근합니다~~ 애기도 푹 자고 일어나서 늦지않게 학교 가요~ 연락해요! 오늘도 홧팅 사랑해!,일어났슈.. 어제 무조건! 6시반에 잏어나야겠다 했지만 눈 떠보니 8시네요 하핳.. 어쨌든 준비합니다 애기!! 나도 사랑해요
ㅋㅋ잘했어,학겨 갑니다용
잘다녀오시게,그래유우
아침 뭐먹어써?,감자전 먹구 나왔어요오
어무니가 해주심? 좋겠다 나도 먹고싶어 싸와,ㅋㅋㅋㅋㅋㅋㅋ 이미 나와버렸는걸..? 자기는 일 잘하구있어?
웅,손님 많아?
노노 울엄마는 자기 먹으라고 싸쥬는데 자기 어무니는 왜 현지 안줘??,으응.. 말해볼게용 현지 주고싶다고
ㅋㅋ 됐어,힝 50분까지 학겨 가자잇
웅 고고 자기 그럼 오늘 세미나 끝나면 몇시야??,6시 반 될거같아요
헥헥,ㅋㅋㅋㅋㅋㅋ 일단 안전하게 강의실도착이욤
웅야 쉅 잘 다녀와용~~,네 😊 다녀올게요~ 끄아앙앗 이리저리 치이는중 똬당 이거 맞죠 좌기??
마쟈!!!!! 테이번다,ㅋㅋ
꺄앙,예약 완료 ㅋㅋ ㅋㅋ ㅋㅋ 레츠기릿.
히히 고마워용 담에는 자기가 보고시픈거 볼게 꼭,히히 다음에 볼꺼 있으면요
응응!,나 이제 수업들어간다
아이유 콘서트면 입닥치고,바바잉
따라감,ㅋㅋㅋㅋㅋ 아이유콘서트는 여기 없서
웅 다녀와용 현지는 쉬는시간 현지 들어갑니다아,들어가유! 나도 들어가유! 캬컄 수업 끝나서 바로 밥먹으러갑니다잉
웅야 오늘 학식 모야,이름은 모르겠구 요거에요
찜닭인가,음 그런거 같아 맛있게 먹고 다시 연구실로~~
거래고래 집간다~,고생했어요 자아기 푹쉬러 가보자~
드가자~,나는 수업드간다~~ 애기 뭐 먹고싶은거있어? 이따 갈때 사갈게
드가라~~ 훔냐 없어유 저녁이나 같이 먹어유,오케오케 생각나면 말해줘
어케잉 ㅋㅋ 어제 자기가 사온거 먹는 현지 보기 좋아써??,웅웅 자기 맛있게 먹으니까 더 먹이고싶어
히히 사랑해 나는 집 도착!!,뭐하고 이써요 나 수업끝나서 바로 미팅가요!
웅야 다녀와용 나 쉬고이쓔,네.다녀올게뉴
넹,좌기 나 끝나서 출발할게요 히히
네 자기!!! 밥 뭐먹을래?? 간단한거 우때 어제처럼 '멘부리' 어때요? 배달의민족 앱에서 확인해보세요.,웅 좋아요 자기 맛있을거같아
저기서 모먹을래요,잠시만용 자기 치돈 먹으면 나도 치돈먹을래 아니어니 자기 치돈 안먹으면 내가 치돈 자기 치돈먹으면 나는 가츠나베먹을래요
다른것두 많은뎅 가츠나베 머글거야?,응응
김치??,네에
오케바뤼,약수에서 출발할때 말할까??
응응! 오디양 약수양??,맞당 ㅋㅋㅋㅋ 방금 탔어요
어 아,ㅋㅋㅋㅋㅋ
시킴,넹!
밥와쪄,자러가유..ㅎ 오늘하루 일하느라 고생했어 자기 내일도 같이 화이팅하자 많이 피곤할텐데 알람울려도 좀 더 누워있다가 준비해요! 바바잉
자기야ㅠ 나 ㅈ돼써 짐 택시타고 가는준 잘도척해서 일하는중,홀리 ... 오픈늦었어?
응 존나 늦음 50분에 왔음 넌 머함?,나 밥먹ㄱ고 이제 씻으려궁ㅅ 지금은 좀 괜찮아?? 엄청 놀랬겠네 ㅋㅋㅋ
응 뒤지게 놀람 눈뜨니까 6시10분이야,ㅋㅋㅋㅋㅋㅋ 이미 오픈시간 지났었네 카톡방에소  혼났어?
ㅋㅋㅋ 노노 오늘 부점장님이랑 같이 오픈이어서 갠톡 드려써ㅠㅠ,ㅋㅋㅋㅋㅋㅋㅋㅋ 부점장님~~!! 오갱끼데스까~~~~~~ 계셔서 살았군요
웅 힝구 지각한 내자신 너무 싫어 ㅠ,지각하면 어때 어쩌다 한 번 지각한건디 심지어 어제는 많이 잤으니까 자기는 노력 많이 한거지
ㅠ 힝구 자기 오디야,나 이제 나가려구요
도착해써?,잉 ?? 뭘 도착해?
아 이제 나가는군아 지하철 탄줄,응 ㅋㅋㅋㅋ
응 왜웃니?,자기도 잘못보는규나~~ 싶어서 ㅋㅋ ㅋㅋ
비웃니?,❌️ 노 비웃
나 자금 쉬는데 너 나왔니? 같이 담배필래?,응응
ㅇㅋ 저나함,난 한모금 함 ㅋㅎ
디질래?,ㅋㅎ
현지 들어가요 자쓔,그래유 애기 나도 얀구실 도착했어용
오늘도 홧팅!,쉅 들어가유@@ 따단 수업끝나서 연구실 가려구요
웅야 나도 한시간 피곤해 뒤져 집가는중 너 왜 대답안해? ??,낑.. 지금 봤어유
귀여워서 봐줌 낑 귀엽네,히히
나도 써먹어야지,ㅋㅋㅋㅋㅋ 고생했어 자기
웅 집간다,오늘 심장 터질뻔했는디
졸라 피건해ㅠ,잘 간수했넹
웅,ㅋㅋㅋㅋ
부점장님 덕분임,마침 자기가 타이밍좋게 빵도 구웠버렸어 자기~ 뭐하구이써요
웹툰봐,머선 웹툰이요?
멀라두돼~,ㅋㅋ 나는 여자친구도 외면하는 진따인가봐 어떡하면 좋을까
알면 나한테 잘해~,ㅠㅠ
넌 머행,나눈 똑같지 공부하고있어요 다른 과제 맛보는중 ㅎ 이제 밥먹으러가요
샤워 완,쉅 들어가유우..
나 써브우ㅐ이 먹을건데 너도 먹을거임?,나는 괜찮아용~
웅 어대 어디야,약수에용
웅 배고파,얼른 시켜용 자기 시켰어?
시켜쓔,잘해쓔
어댜 썹으ㅔ이 어ㅏㅆ는데 먹구이싸?,응응 먹어요 나 상월곡이야
아라쪄 자기 안먹오 지쨔?? 최소금액때매 30센치 시켰는데,나 지금 배안고픈디?
알쑴 자기야 나 출근해요 새벽에 쓸데없는 말 해서 미안해 술김에 그냥 생각없이 한 말이야 신경쓰지마 미안해 정말 자기야 나 11시에 들어가는데 그 전에 전화하기 어려울까?,얼른 준비해볼게요
아냐 촉박하면 천천히해 밥도 먹고,나 이제 끝나서 학교가 다음쥬에 또 오래요
오늘도 많이 아팠어?,아니아니 오늘은 잇몸마취해줘서 별로 안아팠요
다행이네 어디야?,역도착했어 연구실도착했어요
응응 겅부하다가 2시에 수업인가?,응 그렇지
자기야,응 불렀어?
현지 사랑해?,엄청 사랑하지
내 얘기 듣고 자기가 실망했을까봐 무서워,실망안했어 걱정안해도돼 내가 걸리는 건 자기는 대단한 사람인데 자꾸 자기를 낮게 보는거밖에 없어
미안해 그런얘기해서,자기는 최고야 나 수업 들어갈게 자기한테 실망 안했어 정말로 걱정말구 사랑해 애기야
나도 사랑해 잘다녀와 퇴근해서 집에 가요 집 도착했어 일어나서 엄마집 가,응 자기 밥 맛있게 먹어요
응응 시장 갔다가 집 들어왔어,뭐먹어요 ?
김치전 해준대,오 맛있겠네
응응 맛있게먹는중,그래요 나는 20분에 출발할게요 자기
응응ㄴ 나 엄마 내일 깍두기한다그랴서 파 좀 다듬어주고 갈게,네 자기 출발할게요~
어디야?,약수에요
내렸어?,응응 출구나와서 걷는즁이야
응 같이 담배피자,응 전화할게 자기 나 밥도 먹구올게요?
응응 다녀와요,네에
자기야 나도 모르게 잠들어버려쓔,글쿤요 난 씻을게용?? 그래도 나랑 전화했어 ㅎㅎ
어잉 그래?? 기억안나,자기 자요?
아닝 일어나슈 나와쓔,뭐해유 애기 나 끝나서 이제 출발하려구요 ㅠㅠ
고생해쓔 나 카페에서 수다 떨다가 코노가유,지금 가유?? 나랑은 안가유..?
ㅋㅋ너랑도 갈게 수빈이가 가고싶대 오디쯤이야??,나 약수역이에요 나도 같이가?
어딜 ㅋㅋㅋ코노?? 자기 같이 가고싶으면 같이 갈게,나는 집갔다가 같이가?
응응 자기 집 간다며 비오면 내 우산줄게 쓰고 가,일단 도착해서 말할게유 그럼 나 집갔다가 나갈게?
응응 오래걸려??,음 분리수거 시간이 좀 걸릴거같아 왕복 시간도 있고
흠냐 일단 알게쓔,어디에요?? 나 이제 나가
담골 자기 방구 뿌득뿌득,들었엉..? 왜 들어.. 귀막아 얼름 나 설사해 ㅠㅠ
응응,자기 나 안늦게 잘 도착했어요 ㅠㅠ 다녀올게
녜 다행이다ㅠㅠ 다녀와용,넹~
보일러 아조씨 11시50분에 온대유,그래유우 결과 나오면 알려주세유 자기 나 끝나서 밥 먹으러가유
나 떠 잠들어슈 아조씨 오신대 일어나서 방 치우는중,그래유 옷 따듯하게입오
기사님 오셔서 보는즁 부품 교체 해야한다고 하셔서 하시는즁 뉴뉴 그래도 비싼 부품 아니어서 출장비 합쳐서 오마넌 정도 나온다네유 15분정도 걸린대 다행이당 큰문제 아니어서,음 문제가 있긴했나보네요 자기 말대로 큰 문제 아니여서 다행이다
웅 물이 샌대 물이 새는 건 안바꾸면 안된대,응응 옆집한테 고맙다고해야되나?
ㅋㅋㅋㅋㅋㅋ 옆집 사람 살때도 문제 있어서 오셨었나봐 몇년전에 왔던 기록이 있대 쟤네도 알고있어서 ㅠ 알려줬나봄 문열여있는거 보고 수도가 잘 어는 구조래ㅠ 겨울에 물 꼭 틀고 자래 시불탱,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 아 지금 살고있는집에 살았었지
웅,더 추워지면 물 틀고있어야겠따
아조씨가 들어가있으라고 했는데 몬가 좀 그래서 걍 앞에 앉아있음 옆에 서있으면 부담스러우실까봐 담배펴도되나 버릇없어 보이나,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 다 고치면 펴요 애기 괜히 눈치보이실라
웅 아저씨 여기 안보시길래 걍 폈음,그리고 날도 추운데 들어가있어
힝구 써브웨이 시켜먹을까,썹웨이조치
끝나슈 보니까 작년에 얼어서 물이 샜던거 같대 박사님이셔 올해는 안얼린다,옹 그떄부터 시작이었네
썹웨이 먹는다!! 군대유튜브 자기랑 같이봐?,아뇨아뇽 봐두돼요 나도 지하철에서 조금 봄 ㅋㅋㅋ
ㅋㅋ아오 이름 머더라,이따 갈때도 봐야지 더솔져스 5화부터보면돼요
아씨 알파 짐?? 차밀기에서? ㅋㅋ미션하는거 보면 돈 ㅈㄹ 많이 들어보여서 피피엘 눈감아주게된다,애기 나 수업들어간다!!
잘다녀와잉 나 떠 잤네 일어나서 빨래간다 진심 출발,출발!!!
빨래방이다! 빨래를 가지러 가볼까?,가보실까..나...?
피휴휴 진짜 출발할게,갔다와ㅣㅆ닝
응 힘들다 애기야 자기 언제와잉 어디십니까잉,약수입니다요
쟤네 수영하는거 보니까 나도 수영장 가고싶당 어디니,ㅋㅋㅋㅋ 동묘입니다! 보문역이에요 자기
간다!,네 자기 천천히 와용
자기야 현지 잘 도착했어요 다녀올게 푹 자고 일어나서 연락해주세요,오픈은 잘 했어요? 나 일어났어 왜 8시이니는 모르겠지만 준비할게요 ㅋㅋㅋ 자기 저 이제 나가요 날이 추워서 자기 옷하나 걸치고갈게요오
응응 애기 내옷다 입어 나 바빠서 이제야 핸드폰 본다 삭제된 메시지입니다. 얘!! 너 왜 대답안하니??,나 연구실도착했다 얘
너 근데 왜 내 카톡 안읽었니??,응? ㅋㅋㅎ 더 솔져스 보고있었어..
너 진짜 죽을래?,우웅?? 나는아무것도 몰라요 히히
머가웃긴데 야 머가웃기냐고,우웅?? 준서 공부하러간다? ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
아 왜 나 짜증나게ㅙ ?? 너만 불행할뿌니야 나 짜증나게 만들어봤자,오늘은 짜장면먹으까
ㅋ ㅇㅇ 샌드위치 챙겨갔어 안챙겨갔어 탕슉도 먹을거임 난 짬뽕 먹을래,안챙겨가쏘
아 왜,입맛없어서 어제 그냥 간다구했자네
가져가서 먹으면되자나 가져가라구했자네 말안들어??,ㅋㅋ
엉덩이 맴매해??,슈슉 슈슈슛슈슈ㅠ슈슈슉
아 씹,봐줘잉
자기 말투 너무 급식같아 아프리카티비 보는 급식,마자 나 더 솔져스보는 급식이야 오구오구해줘야지
자기야 너 왜 한마디도 안지고 따박따박 왜그래??? 나 넘 짜증나 사과해,미안해
응응 또 장난쳤으면 진짜 카톡 삭제할뻔해써 저심해죠~,네에 ㅠㅠ
카톡 보니까 나 넘 성격 쓰레기 같자나 왜저래?? 나 성격이상해??,안 이상해애ㅛ
웅 보고싶당 쓰레기같은데??,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 자기는 최고얌
이건 못올리겠다 나 넘 쓰레기가터,자기 안올리고싶으면 그래용
웅 자기가 봐두 쓰레기같지ㅠ 야야 내가 신기한거 보여주까?? 지가 누끼따줌 신기하지 복사해서 암때나 붙여넣을수있음 이고봐 메모장에도 붙여넣을수있구 카톡으로도 보낼수이써 신기하지,누끼따줌이뭐야?
배경 지우고 인물만 따준다고,오오
신기하지,대박신기하네
포토샵 지절로 해줌,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 와 나 자기 손보고 자기가 왜 스티커붙이고 기도를 하고 있지 하고 봤는데 내손이였네
ㅋㅋ왜조래 아니 범석좌 ㅅㅂ 배 뒤집기전에 모스부호 해석한고 씹소릅 지린다 1등먹을만하다,ㅋㅋㅋㅋㅋㅋㅋ 그니까 능력이 달라
어케 저런상황에서 작은거 하나 놓치지않노? 머단,갈수록 재밌다니꼐 나 이제 마지막화 남음
나도임 아 담배하나 도 필까 아 근데 범석좌 진짜 어ㅐㄹ케 대단하지?? 수영 잘한다던 넘들 아무도 장비 못가져오는데 바로 드가자마자 쌉바로 가져오는거봐 대답안하니? 담배필까말까 대답하렴 15분남았음,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 아까 2개핀거아냐?
밍 그건 아까긴한데 그럼 안펴야게따 추워,그래용 자기 이따가 끝나고 실컷 필텐데용
아라쪄 밍밍,뮝뮝 유튜브보는중 ??
웅 막화 남겨놨음 집갈때 보게,그뢩
우잉 추워,나 슬슬 밥먹으러강요
추어잉 누구랑가,혼자가 나는 바보라 친구가 없나봐
내가 있자나 난 들어와쓔 자기 나말고 더 필요해??,아뉭 자기면 충분하디 힣
구래구래 밥 맛있게먹어 뭐먹니,이제 출발해요 ㅎㅎ 책 빌릴거있어서 찾다가 좀 늦었네
웅야 12시쉅 아니야?,맞아유 부대찌개 나오네용?
얼른 먹구 가야겠네 넉넉하게 나오지ㅠㅠ 자기야 우리 내일 300일인데 저녁 먹어??,후다닥 달려와서 안늦게 도착했어용~ 저녁 같이먹어야지
아라쏘,집에서 먹구싶어? 아니면 밖에서 먹고싶어??
집에서 먹자~!~!,그래용~~ 나 수업끝났엉ㅅ 밖에 비오는데 이따가 퇴근할때 날씨보고나가요
나 우산이쓔,앙 글쿤요 연구실 왔으요
융 애기 너는 우산있니?,아뇽 우산은 없는데 소나기였나봐요 금방그쳤어요 근데 곧 퇴근이네요 자기!
퇴근이다 부점장님한테 이거 보여주려고 보냄 호빵 쿜 ㅋㅅㅋ 웅야 나 너말만 믿고 우산 안가져간다 비오면 주거,우엥
우엥?????,4시에 소나기가 온다고되있으니 괜찮겠군..훗
웅 너 6시 쉅??,얍얍 고생했어 자기
쿄쿄 담피하면서 저나할수있겠군 흐흐,크크 시간과 낙여 시간과 낙엽 이라는 노래들어봐 자기야 은근히 힐링노래임
시른디,응
악뮤노랴?,웅!
오이시꾸나래 오이시꾸래 모에모에꿍~,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 개웃긴데 5번 연속으로 봄 ㅋㅋㅋ 애기 무하니 나 5시 20분에 밥먹으러간당~ 밥먹으러가요오 자기 저 다음 수업들어갈게유~~ 일어나면 연락주세용
웅 자기 나 잠들어쓔. 일어나써 자기 나 씻고 이제 엄마집가용 엄마집 도착! 밥 다목오쪄 자기 언제 꿑나 자기 ㅠㅠ,나 이제 끝났어요
흐규ㅠㅠㅠ 자기ㅠㅠㅠㅠ,응응
보고시퍼ㅠㅠㅠ,50분에 출발하려구하는데 괜찮아요?
웅,ㅋㅋㅋㅋㅋ 거기에는 비안와요?
비와?? 나 집 안이어서 잘 모르겠어,응 여기는 비가오네 근데 연구실에 우산이있어요
플레 찍었다 준서야,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 결국 찍어버렸구나
내 말했지 ㅋㅋ,드디어 와버렸어 ㅋㅋㅋㅋㅋ
이제 다이아야 일주일만에,야야
다이아 가본다 ㅋ,ㅋㅋㅋㅋㅋ 다이아 쉽지않아
어려울거 없잔ㅇ,요즘 애들 상태 이상하다
ㅋㅋㅋㅋ 내가 캐리하면 됨,ㅋㅋㅋㅋㅋ 일단 플레 환영
양야 그래서 이제 듀오 언제하냐 ㅋㅋ 다이아 듀오 가야지,다이아 한번 놀러가야지 시험만 끝내면 바로 롤 조지는거야
방학? ㅋㅋㅋ 난 하루하루가 방학이ㅑ,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
돈 없어서 이제,알바 해
운동 롤 운동 롤 알바,이자식아
이지랄할려고 ㅋㅋ,오늘 뭐하냐?
롤하는데?,지금하는중?
지금 시작함 너 수업 끝ㄴ남?,ㄴㄴ 아직
몇시 끝인데 ,5시 정도 아니다 오늘 패스
사람 또ㅓ 설레게 만들고 도망치네 ㅋㅋ,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 과제가 못가게 막네
아이쿠 ㅇㅋ,선장님 7시 30분정도에 한번 조지시려는지요
졸퉤좋퉤 근데 하면 몇판 할려고,한 3~4판? 나 한판해?
???,할껴 안할껴
Whgwl 좋지좋지 어딘데 스빌,아
욘락이 없잔아 ㅋㅋㅋ,피방가자고?
아 집에서 하자고?,집에서 하잔거 아녔어? ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
ㅋㅋㅋㅋㅋㅋㅋ맞지맞지 들간다 그럼,ㅇㅇ 근데
ㅇㅋ,나 골4로 들어간다?
?? 아니 플레3인데 골드4...?,같이 못함? 키아나 연습하고 싶어서
참아 본캐 가져와,ㅋㅋㅋㅋㅋ 키아나 보여줄게 일단 들어와바
준서 피시방갈래? 형이 컴퓨터 뺏음 후 ㅋㅋㅋ 담배도 피고싶고 함,ㅋㅋㅋㅋㅋ
내가 음료수도 하나 사줄게 밥먹고 가자,알겠어 ㅋㅋㅋㅋㅋㅋ
따악 3판만 하자,밥먹고 말할게
갈거면 나 미리 나가있게 갈거? 가자 ㄱㄱ,ㅇㅋㅇㅋ
우리 도원결의했잔아 굳,갈게 이제출발
오케이! ㅋㅋ 다이아 간다,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 같이가야지 임마
떨어졋는데 ㅋㅋ혼자 떨어졌네?ㅋ,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 다행쓰 환영한다
오늘도 할꺼임?,너 오늘 뭐하는데?
운동 ㅋ 그것마저도 하고옴 ㅋㅋ,ㅋㄷㅋㄷ 나 지금 동민이랑 카페
그럼 이제 할거는,8시나 9시쯤 끝낼듯? 
오늘 일찍 끝내게 ?,엉 10시까지 못버티겠다
8시에 끝내 그치 그럼,ㅋㅋㅋㅋㅋㅋ
나 6시쯤가서,응
하면 되겄다 나도 책일게,오 ㅋㅋㅋ 동민 - ㅈㄹ하지마 그럼 6시까지와
만화책인데?,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ㅇㅈ
ㅇㅈㅇㅈ ㅋㅋ,이따봥
ㅇㅋㅇ 플레1 다시 왔다 간다 ㅋㅋ,ㅋㅋㅋㅋㅋㅋㅋㅋ 결국 가버렸네 ㅇㅋㅇ
맞지맞지 시간 얘매해서 나 코노 가있어도 됨? 8시 시마이 맞노?,ㅋㄷㅋㄷ? 안돼 못가 코노 못가
왜?,갈거면 같이가야지
가실? 일단 그럼,7시 30분에 ㄱ ?
담배하나 피자 근처임,ㅇㅋㅇㅋ 잠ㅁ나
기여코 점수 또 떨구노 ㅋㅋㅋㅋ,ㅋㅋㅋ 알바 첫출근 할만하냐
좋오,핸드폰 하는거보니깐 여유롭네
햄부거 맛있음 ㅋㅋㅋ 수제버거 개꿀맛인데,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 우린 또 스시쟁이옴 ㅋㄷㅋㄷ
ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 진짜 너가 커피 사야하는게 맞는듯 ㅋㅋㅋㅋ 하 시발,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
오늘 롤 할까냐ㅠㅋㅋ 나 플레 1 70포임 ㅋㅋ,ㅅㅂㄴ 수요일까진 안할듯 10시에 담배피고 쫑
좋지,없대 누가가져간듯?
???누가 가져갔다고?,노래방에서 잃어버린거맞아??
응응ㅇ,누가 가져간건 모르겠고 ㅂ분실물에 없었어 직원한테도 물어봤는데 없대
?? 주황색,ㅇㅇㅇㅇ 카카오프렌즈는 아니잖아 지갑 제외하고 카드는 카카오프렌즈밖에 없었어
으 좆괬네,ㅋㅋㅋㅋㅋㅋ 얼른 정지 시켜야겠네 나도 나라사랑카드 잃어버림
그러게 준서 10시에 더캠프로 갈게 배터리가 없다 ㅋㅋ,고단수네 이자식 난 뇌 안굴린다 일단 더 캠프 ㅇㅋ
ㅇㅋ 준서 쟤,?
정설아 인거,ㄹㅇ?
앎? ㅇㅇ ㅋㅋㅋㅋㅋ,여기서 안보여 맞는듯?
자자 승격전 왔다 ㅋㅋ,하 그러지 좀 말라구 선넘네
하 지금 벽느낀끼는중 개터린느중,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 에이징커브 가즈아
와 드레이븐 진짜 존나잘해,확실히 다 잘하는애들이네 탈론도 승률 개좋아
상위권 게임개꿀잼 진짜 ㅋㅋ,zzzzzzzzzzzz ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 지리노
다이아 올라가니깐 한판 이기면 18포 주던데 ㅋㅋ ㅇㄷ야,엘가여
죽ㅇ여달라는거냐?ㅋㅋㅋ 골때리네 시발년,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
꼰질러야지~,구라 제대로 치네 썅년
ㅋㅋㅋㅋㅋㅋ 꼰질러야지 사장님한테,죽여버려 그냥 갱생 불가다
새벽6시까지 공부하다가 몸살기운있어서 약먹고 자서 지금일어났다고 카톡보냈던데 ㅋㅋㅋ,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
좆구라를 좆되게치네 ㅋㅋㅋㅋ,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 제발 짤려라 씨앙년
아니 근데 이거 알바 다시 시키는것도 존나 무리수임 ㅋㅋㅋ 말도안돼지,이건 호구로 보는거야 미리 연락도 안한건 말도 안되여 이런건 우리가 더 잘알잖아
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ그니깐 내가 프로 탈주닌자인데 감히 내 앞에서 주름 잡노,철퇴로 쳐맞기를 빌게요 please..
ㅋㅋㅋㅋㅋㅋㅋplease,캐뤼
ㅋㅋㅋㅋㅅㅂ 오자마자 사장 또 탈주사네 하네,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 한결같네 지점장하던가
ㅋㅋㅋㅋㅋㅋㅋ 진짜 뻔하닿 뻔해 ㅅㅂ,잘 적응만하면 그 가게 너꺼다 잘생각해
그건 맞긴해~ 걱정말고 다녀오라고 했다 ㅋ,ㅋㅋㅋㅋㅋㅋㅋㅋ 빌드업 벌써 시작했구나~
ㅋㅋㅋㅋㅋㅋㅋㅋ 당연하지 그냥 이제는 ㄱ대치가 없다 여기에 준서 인스타 동국대 인스타 야무지네?,하이라이트? 나 두번 나오더라
그니깐 탈론 미쳤던데,ㅋㅋㅋㅋㅋㅋㅇㅈ 잘보면 이즈도있어 쳐맞는거로
인스타로 야ㅜ지게 봤잔아,ㅋㅋㅋㅋㅋ 오늘 드디어 알바가는날이넹??
ㅋㅋㅋㅋㅋ 야미 어케 준엽이랑 계속 듀오할꺼야?,나 너무 못하는거같아 그래도 내 정글 믿어볼래?
에바야?,지금까지 5연패 ㅋㅋ
한판 ㄱ?,ㅇㅋㅇㅋ
내 원딜 믿어?,난 믿지 원준 근데 지금 한판하고있어서
ㅇㅋㅇㅋ,너도 한판하고있어야됨
ㅇㅋㅇㅋ 하 시발 어제 클라렉 떄문에 닷지되어서 1승2패다 준서 듀오하실?,곧 밥먹어유
동민이네 팀 2연승하고 올라갔데 ㅋㅋ,ㅋㅋㅋㅋㅋㅋㅋㅋ
이게 맞나? ㅋㅋ,다음엔 혼내줘야지 ㅡ우리 8강진출도 잘한거여
ㅋㅋㅋㅋ \인정 밥머고 바로 가자고 이거 이기면 2승2패니깐 ㅋ,ㅋㅋㅋㅋㅋㅋㅋㅋ 라져뎃 밥먹고 톡할게
ㅇㅋ,ㄱㄱ
시발 4트 실패,너야 20초ㅓ 5 4 3 2 1
1승 2패 다 살랴줘,rkqhwk 가보자 나ㅗ았 나왔어
ㄱㄱ 6트 시작이다 ㅋㅋ ㄱㄱㄱ?,ㄱㄱ
6트만에 승급 ㅋㅋ,ㅋㅋㅋㅋㅋㅋㅋ 고향 다시 왔네
힘들다힘즐어 ㅋ,오전알바 ㅅㅂㅋㅋ
왜?? 마가린 야무지게 해놓고,기름도 안빼 음식물도 안비워 쓰레기통도 그대로야 나 오니깐 지 먹을 햄버거 포장하고 도망감
갔네 ㅋㅋㅋㅋㅋ,ㅋㅋㅋㅋㅋ
ㅋㅋㅋㅋㅋㅋㅋㅋ 시발럼,진짜
남자새끼냐? 그,죽이고싶다 ㅇㅇ 염병
그새끼 진짜 문제있다니깐,진짜 하는게 없터 이런일 처음햐보는듯 나도 이제 음식물 안비울거야 ㅈ같은 주말 이틀참고 평일한테 떠넘긴다 ㅋㅋㅋ
내가 말했잔아 ㅋㅋㅋ,이샤끼 또 냉장고 불 안켰네 계속 나오네 양파도 없어 ㅋㅋㅋ손질 내가 해야되네 원준 얼른 올라와 스트레스로 먼저죽겠다
아 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 그새끼 맨날 그럼 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 토나올정도로 역함,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 뭐하냐 거기에서 겜중?
하다가 4연패박아서 지금 이마트가는중 식량 안사서 좆같아서 이거라도 해얒0 세탁기 돌려놓고 청소하고 나왓다,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 시작이구나 가보자잇
벌써 4만원 미치겠다 돈없는데 살게 너무많은데,알바 알아보는중이지? 이번엔 무슨 꿀알바야
ㅋㅋㅋㅋㅋㅋㅋ 이마트야,ㅋㅋㅋㅋ 윙스버거 또 찾아야지
에휴 좆같다 ㅋㅋㅋㅋ,ㅋㅋㅋㅋㅋㅋ 김은 자취샹 필수템이구나야
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 맞제맞제,바람과함께 사라져버렸어? 강의들을거야??
